Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
Spon2,6.544161223,7.248784451,3.519112838,5.001926255,5.094963219,6.033730345,7.206430424,6.725977909,5.656199557,7.062073589,6.747316533,6.293485445,,84.34079877,0.285675329,0.383104572,0.180358346,0.390019984,100689,"spondin 2, extracellular matrix protein"
Spop,11.94274852,12.33787838,12.18976909,12.04711987,12.17635155,12.23157175,11.37514966,11.72933134,11.98385426,12.22584498,11.69957243,11.63709345,,4071.51639,-0.322215409,0.147273588,0.017540852,0.078920914,20747,speckle-type BTB/POZ protein
Spopl,7.880096175,7.847552752,8.45378659,8.429009096,8.245677616,7.977635783,8.254435797,8.718283517,8.235686928,8.267748615,7.670148674,7.728700827,,289.0636199,0.02218351,0.185959344,0.893035735,0.952982625,76857,speckle-type BTB/POZ protein-like
Spp1,11.8739849,11.6850155,10.70728954,10.72052178,10.19949957,10.84805482,15.99551049,12.80188372,13.23876925,15.78523906,14.34699696,13.41037848,,15313.51283,3.512621299,0.536295842,2.79E-12,5.91E-10,20750,secreted phosphoprotein 1
Spp2,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1.151147988,6.614332553,2.78173044,#NUM!,3.332279035,3.844178044,,10.9588321,8.175118025,3.132969776,0.0000126,0.00026636,75396,secreted phosphoprotein 2
Sppl2a,10.67143211,11.07533294,11.19035903,11.34654694,11.01439411,10.71999345,11.32482512,11.32494109,11.32411748,11.16180316,11.02654018,11.53067857,,2292.904998,0.238018713,0.140941239,0.06846623,0.205296576,66552,signal peptide peptidase like 2A
Sppl2b,8.57031351,8.24531226,8.511579165,8.385841237,8.603512604,8.614611669,8.413242834,8.084278393,8.509650894,8.801364236,8.362026378,8.801949809,,363.519077,0.020918181,0.141710363,0.874016856,0.943328749,73218,signal peptide peptidase like 2B
Sppl3,10.38259652,10.49159213,10.49829983,10.40758662,10.42203462,10.21313343,10.55309411,10.06013231,10.52880449,11.0772638,11.06019949,10.60111921,,1502.923118,0.240684552,0.165606584,0.106970793,0.277549924,74585,signal peptide peptidase 3
Spr,11.07839292,10.3115571,9.975809489,10.02266911,10.13623124,10.49760103,10.56053893,11.14652051,11.54770712,9.825553702,11.19233138,11.04837295,,1682.302984,0.445936353,0.276961034,0.037974097,0.136870668,20751,sepiapterin reductase
Spred1,11.95727311,11.93312848,12.52473739,12.80990939,12.24978133,12.2175129,12.72975655,13.19045849,13.40332448,12.24262445,12.24483576,11.55418968,,5856.269704,0.251502175,0.258102102,0.205502888,0.423834399,114715,"sprouty protein with EVH-1 domain 1, related sequence"
Spred2,9.349000547,9.316529058,9.613630437,9.863542771,9.711074418,8.977635783,9.865393506,9.182616312,9.912729929,10.34389147,8.575981962,9.629567634,,774.8451959,0.124983697,0.228960409,0.49441546,0.709009525,114716,sprouty-related EVH1 domain containing 2
Spred3,7.295133675,7.199396425,7.519112838,7.295425942,7.295102834,8.002836337,8.62688142,7.204812058,7.444695452,9.432057825,7.362026379,5.50129033,,222.9779359,0.267790753,0.365498676,0.20792936,0.427520969,101809,sprouty-related EVH1 domain containing 3
Sprr1a,8.295133675,7.723270416,5.519112838,7.136227347,6.346501986,6.454868044,10.72763234,9.102126394,8.92808697,7.972063423,9.165169049,11.38274008,,592.3993619,2.587216623,0.592835912,0.000000612,0.0000224,20753,small proline-rich protein 1A
Sprr2a3,8.485817236,3.248784452,#NUM!,5.853827616,1.287608297,3.151087296,10.04899344,8.51123906,7.536617941,5.692839779,12.74661192,10.07003432,,837.1835206,3.223179444,1.991076565,0.00147933,0.012210564,100042514,small proline-rich protein 2A3
