k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
102	3	8	0.14061381	-0.044405686	AB	0	0	0.16017422	0.0099884727	AA	0.00159989582371379	0	ct2VSct5	-0.00784394851783746	-0.00159989582371379	0
103	3	9	0.14061381	-0.17344142	AB	0	0	0.16017422	-0.1274323	AB	0	0	ct2VSct5	-0.0039768896227042	0	0
104	3	10	0.14061381	-0.19903151	AB	0	0	0.16017422	-0.18691438	AB	0	0	ct2VSct5	0.0019522860921305	0	0
105	3	11	0.14061381	-0.1973125	AB	0	0	0.16017422	-0.16241039	AB	0	0	ct2VSct5	-0.0017309048474792	0	0
106	3	12	0.14061381	-0.15190249	AB	0	0	0.16017422	0.017687445	AA	0.0028330727066679	0	ct2VSct5	-0.0241926605740548	-0.0028330727066679	0
107	3	13	0.14061381	-0.087703852	AB	0	0	0.16017422	0.09036246	AA	0.0144737365477812	0	ct2VSct5	-0.0268061093291773	-0.0144737365477812	0
108	3	14	0.14061381	-0.1880073	AB	0	0	0.16017422	-0.19910875	AB	0	0	ct2VSct5	0.005455665965612	0	0
109	3	15	0.14061381	-0.20745743	AB	0	0	0.16017422	-0.22389707	AB	0	0	ct2VSct5	0.0066911589024271	0	0
110	3	16	0.14061381	-0.17437581	AB	0	0	0.16017422	-0.10668783	AB	0	0	ct2VSct5	-0.0074310070621935	0	0
111	3	17	0.14061381	-0.14796277	AB	0	0	0.16017422	-0.16114704	AB	0	0	ct2VSct5	0.0050059926094551	0	0
112	3	18	0.14061381	-0.16760507	AB	0	0	0.16017422	-0.12908324	AB	0	0	ct2VSct5	-0.0028917801859439	0	0
113	3	19	0.14061381	-0.14024768	AB	0	0	0.16017422	-0.082187458	AB	0	0	ct2VSct5	-0.00655644864952804	0	0
114	3	20	0.14061381	0.054948016	AA	0.00772644988170096	0	0.16017422	0.10462359	AA	0.0167580019218498	0	ct2VSct5	-0.00903155204014884	-0.00903155204014884	0
115	3	21	0.14061381	-0.0074197618	AB	0	0	0.16017422	0.021771407	AA	0.00348721813452754	0	ct2VSct5	-0.004530539110518	-0.00348721813452754	0
116	3	22	0.14061381	-0.15307954	AB	0	0	0.16017422	-0.16762484	AB	0	0	ct2VSct5	0.0053240806471774	0	0
117	3	23	0.14061381	-0.094298444	AB	0	0	0.16017422	0.045727801	AA	0.00732441485749022	0	ct2VSct5	-0.0205840783454019	-0.00732441485749022	0
118	3	24	0.14061381	-0.15181406	AB	0	0	0.16017422	-0.072285174	AB	0	0	ct2VSct5	-0.00976893202515432	0	0
119	3	25	0.14061381	-0.14685121	AB	0	0	0.16017422	-0.023054218	AB	0	0	ct2VSct5	-0.0169566167553501	0	0
120	3	26	0.14061381	0.022230333	AA	0.00312589182069873	0	0.16017422	0.11066115	AA	0.017725063385553	0	ct2VSct5	-0.0145991715648543	-0.0145991715648543	0
121	3	27	0.14061381	-0.1369298	AB	0	0	0.16017422	-0.057726404	AB	0	0	ct2VSct5	-0.0100079391464331	0	0
122	3	28	0.14061381	-0.19271408	AB	0	0	0.16017422	-0.20989674	AB	0	0	ct2VSct5	0.006521785580598	0	0
123	3	29	0.14061381	-0.072474398	AB	0	0	0.16017422	-0.061097665	AB	0	0	ct2VSct5	-0.000404630395040078	0	0
124	3	30	0.14061381	-0.19092902	AB	0	0	0.16017422	-0.17611978	AB	0	0	ct2VSct5	0.0013625914463054	0	0
